,model-name,ave_auc_macro-val,ave_auc_micro-val,ave_auc_weighted-val,ave_auc_macro-test,ave_auc_micro-test,ave_auc_weighted-test
1,./pytorch_states_2024-11-30 11:00:09/BCE/LSTM.i76.h256.L1.c25-.BCE+SCL.a0.bs64.wdcy0.epo1.Val-AucMac0.6437.AucMic0.7403.Tst-AucMac0.6501.AucMic0.7418.pt,0.6437166245375079,0.7403167561585795,0.6376900508039398,0.650074361007582,0.7417770776329659,0.6422147635270941
2,./pytorch_states_2024-11-30 11:00:09/BCE/LSTM.i76.h256.L1.c25-.BCE+SCL.a0.bs64.wdcy0.epo2.Val-AucMac0.6810.AucMic0.7488.Tst-AucMac0.6828.AucMic0.7485.pt,0.6809565574856394,0.7487678720861564,0.6727946271582975,0.6828385231454661,0.7484612639132635,0.6725076262617395
3,./pytorch_states_2024-11-30 11:00:09/BCE/LSTM.i76.h256.L1.c25-.BCE+SCL.a0.bs64.wdcy0.epo3.Val-AucMac0.7164.AucMic0.7830.Tst-AucMac0.7161.AucMic0.7819.pt,0.7163608070027289,0.7829631859151771,0.706431600632301,0.7161319491708893,0.781941263559107,0.7057766137988306
4,./pytorch_states_2024-11-30 11:00:09/BCE/LSTM.i76.h256.L1.c25-.BCE+SCL.a0.bs64.wdcy0.epo4.Val-AucMac0.7306.AucMic0.7923.Tst-AucMac0.7328.AucMic0.7929.pt,0.7305753879224473,0.792267128839774,0.7204126321143977,0.7327928841134401,0.7928969665507348,0.722029456482153
5,./pytorch_states_2024-11-30 11:00:09/BCE/LSTM.i76.h256.L1.c25-.BCE+SCL.a0.bs64.wdcy0.epo5.Val-AucMac0.7405.AucMic0.7997.Tst-AucMac0.7425.AucMic0.8009.pt,0.7404887978085773,0.7997226495070001,0.7294124338086487,0.7424825097176913,0.8009476847448324,0.7313454883491147
6,./pytorch_states_2024-11-30 11:00:09/BCE/LSTM.i76.h256.L1.c25-.BCE+SCL.a0.bs64.wdcy0.epo6.Val-AucMac0.7485.AucMic0.8057.Tst-AucMac0.7494.AucMic0.8052.pt,0.7485011323034257,0.8057318983073632,0.7374980554227334,0.7494203833990319,0.8052436062695427,0.7381551641503882
7,./pytorch_states_2024-11-30 11:00:09/BCE/LSTM.i76.h256.L1.c25-.BCE+SCL.a0.bs64.wdcy0.epo7.Val-AucMac0.7523.AucMic0.8075.Tst-AucMac0.7539.AucMic0.8077.pt,0.7523294280422888,0.8074514135948638,0.7407197631881695,0.7539068144182912,0.8077012870490219,0.7423972179757726
8,./pytorch_states_2024-11-30 11:00:09/BCE/LSTM.i76.h256.L1.c25-.BCE+SCL.a0.bs64.wdcy0.epo8.Val-AucMac0.7583.AucMic0.8118.Tst-AucMac0.7581.AucMic0.8107.pt,0.7583090185064445,0.8117681693713177,0.7461974394746884,0.7581197109002578,0.8106952042004045,0.745774713115519
9,./pytorch_states_2024-11-30 11:00:09/BCE/LSTM.i76.h256.L1.c25-.BCE+SCL.a0.bs64.wdcy0.epo9.Val-AucMac0.7595.AucMic0.8119.Tst-AucMac0.7592.AucMic0.8109.pt,0.7595200491532296,0.8119021949211435,0.7474037974316102,0.7592227975570528,0.8108913407900062,0.7472717115517094
10,./pytorch_states_2024-11-30 11:00:09/BCE/LSTM.i76.h256.L1.c25-.BCE+SCL.a0.bs64.wdcy0.epo10.Val-AucMac0.7614.AucMic0.8146.Tst-AucMac0.7615.AucMic0.8143.pt,0.7613775151514223,0.8145618123851283,0.7485427899726292,0.761536687576088,0.8143344534558641,0.7497989177494064
11,./pytorch_states_2024-11-30 11:00:09/BCE/LSTM.i76.h256.L1.c25-.BCE+SCL.a0.bs64.wdcy0.epo11.Val-AucMac0.7642.AucMic0.8154.Tst-AucMac0.7649.AucMic0.8158.pt,0.7642308614042961,0.8153751512766939,0.7510872213462567,0.7648861234669324,0.8157826280370175,0.7521111852710798
12,./pytorch_states_2024-11-30 11:00:09/BCE/LSTM.i76.h256.L1.c25-.BCE+SCL.a0.bs64.wdcy0.epo12.Val-AucMac0.7642.AucMic0.8148.Tst-AucMac0.7646.AucMic0.8151.pt,0.7641844311067361,0.814795809270733,0.7516164291547094,0.7646279137712986,0.815055691309974,0.7518883391853547
13,./pytorch_states_2024-11-30 11:00:09/BCE/LSTM.i76.h256.L1.c25-.BCE+SCL.a0.bs64.wdcy0.epo13.Val-AucMac0.7667.AucMic0.8164.Tst-AucMac0.7660.AucMic0.8152.pt,0.7666721761832115,0.8164285082759859,0.7542081567872689,0.7659546188729582,0.8152363942170964,0.7533246143321134
14,./pytorch_states_2024-11-30 11:00:09/BCE/LSTM.i76.h256.L1.c25-.BCE+SCL.a0.bs64.wdcy0.epo14.Val-AucMac0.7663.AucMic0.8184.Tst-AucMac0.7662.AucMic0.8177.pt,0.7663217819787724,0.8184040850353673,0.7538585035183281,0.7661773858318329,0.817678040095267,0.7538672748522027
15,./pytorch_states_2024-11-30 11:00:09/BCE/LSTM.i76.h256.L1.c25-.BCE+SCL.a0.bs64.wdcy0.epo15.Val-AucMac0.7680.AucMic0.8189.Tst-AucMac0.7676.AucMic0.8183.pt,0.7680353933917802,0.8189243197811156,0.7552020272403059,0.7676113817721518,0.8182985765129358,0.7546327578116512
16,./pytorch_states_2024-11-30 11:00:09/BCE/LSTM.i76.h256.L1.c25-.BCE+SCL.a0.bs64.wdcy0.epo16.Val-AucMac0.7694.AucMic0.8198.Tst-AucMac0.7679.AucMic0.8184.pt,0.7693753477275975,0.8197636233080656,0.7561383965941751,0.7678855879156695,0.8183612569176204,0.7547172030894946
17,./pytorch_states_2024-11-30 11:00:09/BCE/LSTM.i76.h256.L1.c25-.BCE+SCL.a0.bs64.wdcy0.epo17.Val-AucMac0.7701.AucMic0.8204.Tst-AucMac0.7683.AucMic0.8186.pt,0.7700929516087948,0.8203998753512788,0.7572348323722209,0.7682700680593898,0.8186157837095258,0.7550961458928542
18,./pytorch_states_2024-11-30 11:00:09/BCE/LSTM.i76.h256.L1.c25-.BCE+SCL.a0.bs64.wdcy0.epo18.Val-AucMac0.7701.AucMic0.8197.Tst-AucMac0.7690.AucMic0.8185.pt,0.7700749501261612,0.8196728118781982,0.757423921838055,0.7690442352700073,0.8185381928428529,0.7561447020046773
19,./pytorch_states_2024-11-30 11:00:09/BCE/LSTM.i76.h256.L1.c25-.BCE+SCL.a0.bs64.wdcy0.epo19.Val-AucMac0.7688.AucMic0.8194.Tst-AucMac0.7673.AucMic0.8180.pt,0.7688491081151642,0.8194174176832756,0.7559280475966659,0.7672760277038835,0.8179855082225151,0.7543818474099725
20,./pytorch_states_2024-11-30 11:00:09/BCE/LSTM.i76.h256.L1.c25-.BCE+SCL.a0.bs64.wdcy0.epo20.Val-AucMac0.7695.AucMic0.8206.Tst-AucMac0.7687.AucMic0.8196.pt,0.7695268062800013,0.8205819923192116,0.7567449797676563,0.7687495332985254,0.819648275474633,0.7559641188379587
